X Y Z
-45.0625 -118.4375 -156.4375
-45.0 -118.4375 -156.6875
-44.5625 -118.375 -156.625
-44.625 -118.25 -156.375
-44.8125 -118.875 -156.5
-44.9375 -119.25 -156.5625
-45.125 -119.4375 -156.5625
-45.5 -119.9375 -156.625
-45.3125 -120.25 -156.75
-44.8125 -119.9375 -156.6875
-44.9375 -119.75 -156.8125
-44.8125 -119.4375 -156.6875
-44.625 -118.9375 -156.625
-44.5625 -118.9375 -156.3125
-44.8125 -118.9375 -156.125
-44.3125 -118.6875 -155.875
-44.625 -118.5 -155.875
-44.625 -118.75 -155.8125
-44.625 -118.5 -156.1875
-44.6875 -118.625 -156.375
-45.0 -118.75 -156.0625
-44.75 -118.9375 -156.125
-45.1875 -118.75 -156.375
-45.3125 -118.1875 -156.25
-44.875 -118.0 -156.0
-44.75 -117.875 -156.25
-45.0625 -117.5625 -155.75
-44.3125 -117.25 -155.125
-44.5 -117.8125 -155.0
-44.9375 -118.0625 -155.5625
-44.75 -118.5 -155.75
-44.625 -118.9375 -156.4375
-45.1875 -119.125 -157.0625
-44.9375 -119.5 -157.25
-44.9375 -119.5 -156.9375
-45.125 -119.375 -157.1875
-44.875 -119.5625 -157.0625
-44.5625 -119.9375 -157.4375
-44.5625 -119.5 -157.25
-44.0 -119.125 -157.0625
-44.125 -119.1875 -156.6875
-44.5 -119.0 -156.6875
-44.5 -119.0625 -156.25
-44.5 -119.125 -156.0625
-45.0 -119.25 -156.375
-44.875 -119.3125 -156.4375
-44.5 -119.5625 -156.375
-44.625 -119.5 -156.125
-44.8125 -119.5 -156.5625
-44.6875 -119.8125 -156.375
-44.8125 -119.5625 -156.5625
-44.9375 -119.5625 -156.875
-44.9375 -119.375 -157.625
-44.5 -119.25 -157.375
-44.3125 -118.6875 -157.0625
-44.25 -118.375 -157.0625
-44.1875 -118.0625 -156.9375
-44.0 -118.0 -156.5
-44.0 -117.8125 -156.375
-43.875 -117.9375 -156.625
-43.75 -118.75 -156.625
-43.8125 -118.9375 -156.5
-43.9375 -119.125 -156.25
-44.0 -119.375 -156.1875
-44.3125 -119.5625 -156.3125
-44.3125 -119.3125 -156.3125
-44.6875 -119.3125 -156.1875
-44.75 -119.375 -156.375
-45.1875 -119.4375 -156.5625
-45.0625 -119.5625 -156.4375
-45.0625 -119.5625 -156.3125
-44.9375 -119.6875 -156.25
-44.5 -119.6875 -156.5625
-44.4375 -119.5625 -156.75
-44.5625 -119.4375 -156.625
-44.6875 -119.3125 -156.5
-44.3125 -119.25 -156.5625
-45.0625 -119.0625 -156.375
-44.875 -119.4375 -156.3125
-44.8125 -119.4375 -156.4375
-45.0 -119.5 -156.8125
-45.3125 -119.625 -157.125
-44.8125 -119.5625 -157.0625
-45.1875 -119.5 -157.0625
-45.125 -119.8125 -157.625
-44.5625 -119.625 -157.0
-44.1875 -119.125 -156.5
-44.25 -119.25 -156.75
-44.125 -118.9375 -156.625
-44.3125 -118.875 -156.0625
-44.5625 -119.125 -156.4375
-44.6875 -119.5625 -156.4375
-44.75 -119.5625 -156.5625
-44.75 -120.0625 -156.625
-44.5625 -119.9375 -156.8125
-44.5625 -119.625 -156.75
-44.8125 -119.5 -157.0
-44.8125 -119.4375 -157.125
-44.6875 -119.5 -157.25
-45.0625 -119.375 -157.1875
-45.375 -119.8125 -156.875
-45.4375 -119.75 -157.0625
-45.5 -119.75 -156.8125
-45.3125 -119.3125 -157.1875
-45.0625 -119.5625 -157.0
-45.125 -119.125 -157.125
-44.875 -119.3125 -156.875
-45.125 -119.4375 -157.0
-45.375 -119.3125 -156.75
-45.375 -119.3125 -156.9375
-45.375 -119.6875 -157.5
-45.5 -119.6875 -157.75
-45.0625 -119.625 -157.75
-44.8125 -119.9375 -157.6875
-45.0 -119.4375 -157.625
-45.0625 -119.5625 -157.1875
-45.25 -119.5625 -156.9375
-45.3125 -119.5 -156.4375
-45.5625 -119.125 -156.1875
-45.0625 -119.125 -155.5625
-44.875 -118.5 -155.1875
-45.0 -118.625 -155.3125
-45.1875 -118.625 -155.6875
-45.3125 -118.75 -156.0625
-45.4375 -119.1875 -156.8125
-45.25 -119.25 -157.8125
-44.8125 -119.1875 -157.6875
-44.5625 -119.1875 -157.8125
-44.25 -119.4375 -157.5625
-44.4375 -119.4375 -157.6875
-44.375 -119.375 -157.25
-44.375 -119.25 -157.4375
-44.5625 -119.125 -157.0625
-44.9375 -119.0625 -157.375
-44.875 -118.9375 -157.0625
-44.9375 -119.125 -157.3125
-44.875 -119.0625 -156.8125
-44.75 -119.0625 -157.125
-44.4375 -119.1875 -157.3125
-44.1875 -119.1875 -157.3125
-44.25 -119.25 -157.125
-44.875 -119.375 -157.25
-44.9375 -119.4375 -157.3125
-44.875 -119.3125 -157.125
-45.125 -119.25 -157.0625
-45.0625 -119.4375 -157.1875
-44.6875 -119.5625 -157.5625
-44.375 -119.5625 -157.25
-44.625 -119.25 -156.8125
-44.9375 -119.0 -157.0625
-44.9375 -118.875 -156.9375
-44.875 -118.8125 -156.6875
-44.625 -118.6875 -157.0625
-44.375 -119.0 -157.3125
-44.125 -119.4375 -157.375
-44.25 -119.375 -157.25
-44.375 -119.125 -157.1875
-44.75 -119.5625 -157.0
-44.625 -119.5625 -156.75
-44.6875 -119.1875 -156.6875
-44.8125 -119.5 -156.6875
-44.625 -119.75 -156.6875
-44.8125 -119.4375 -156.8125
-45.0 -119.375 -157.25
-44.5 -119.5625 -157.1875
-44.25 -118.875 -156.8125
-44.3125 -118.375 -156.3125
-44.3125 -118.0625 -156.25
-44.4375 -117.9375 -155.875
-45.0625 -117.8125 -156.0625
-44.875 -118.375 -156.5
-44.75 -118.75 -156.8125
-44.75 -119.125 -156.625
-44.375 -119.125 -156.6875
-44.125 -119.1875 -156.1875
-44.6875 -119.3125 -156.5
-44.75 -118.875 -156.6875
-44.75 -118.875 -156.75
-45.125 -119.0625 -157.25
-45.125 -119.0 -157.8125
-44.875 -118.625 -157.1875
-44.6875 -118.75 -156.8125
-44.375 -118.6875 -156.75
-44.0625 -118.1875 -156.1875
-43.9375 -118.5 -156.1875
-43.625 -118.625 -156.375
-44.0 -118.9375 -156.6875
-43.6875 -119.0 -157.0
-44.0 -119.3125 -156.875
-44.1875 -119.5625 -156.5
-44.625 -119.75 -156.5
-44.5625 -119.5625 -157.125
-44.9375 -119.75 -157.25
-44.8125 -119.875 -157.625
-44.875 -119.5 -157.875
-45.0625 -119.625 -157.875
-45.125 -119.6875 -157.625
-45.5625 -119.75 -157.5
-45.25 -119.5625 -157.625
-45.0 -119.6875 -157.5625
-44.375 -119.1875 -157.3125
-44.0 -119.25 -156.5625
-43.9375 -119.1875 -156.5
-44.125 -119.25 -156.25
-44.1875 -119.0 -156.625
-44.4375 -119.4375 -156.75
-44.5625 -119.3125 -157.3125
-44.4375 -119.1875 -157.4375
-44.5625 -119.125 -157.25
-44.5625 -118.625 -156.75
-44.9375 -118.25 -157.0
-45.125 -118.0625 -156.5
-44.8125 -117.9375 -156.25
-44.875 -118.125 -156.5
-45.0 -118.375 -156.8125
-44.6875 -118.625 -156.4375
-44.625 -118.8125 -156.625
-44.6875 -118.875 -156.6875
-44.875 -118.6875 -156.6875
-45.0625 -119.1875 -156.875
-45.3125 -119.1875 -157.1875
-45.125 -119.125 -157.0
-45.1875 -119.0 -156.9375
-45.0625 -119.0625 -156.4375
-44.875 -118.8125 -156.125
-44.5625 -118.625 -156.125
-45.0 -118.8125 -156.6875
-45.0 -119.1875 -156.75
-44.875 -119.4375 -157.1875
-44.8125 -119.1875 -157.1875
-44.5 -119.375 -157.3125
-44.1875 -119.1875 -156.8125
-44.1875 -118.875 -156.5
-44.0625 -118.5625 -156.625
-43.75 -118.6875 -156.375
-44.0625 -118.625 -156.125
-44.25 -118.75 -156.4375
-44.4375 -118.75 -156.625
-44.625 -118.75 -156.4375
-44.75 -118.6875 -156.375
-45.0625 -118.6875 -156.3125
-44.75 -118.75 -156.3125
-44.625 -118.875 -156.5
-44.5 -118.9375 -156.5
-44.75 -118.6875 -156.1875
-44.625 -118.625 -156.4375
-44.6875 -118.625 -156.375
-44.75 -118.6875 -156.25
-44.875 -118.1875 -156.3125
-45.0 -118.5625 -157.0
-44.5625 -118.4375 -156.9375
-45.0 -118.25 -156.875
-45.1875 -118.1875 -156.9375
-45.0625 -118.6875 -156.6875
-44.625 -118.5 -156.5
-44.9375 -118.875 -156.75
-44.75 -119.0625 -156.625
-44.5625 -119.0 -156.625
-44.75 -119.1875 -157.0
-45.125 -119.5 -156.5625
-45.4375 -119.375 -156.625
-45.1875 -119.375 -156.9375
-45.3125 -119.375 -157.5625
-45.1875 -118.875 -157.5625
-44.75 -118.8125 -157.875
-44.5625 -118.6875 -157.6875
-45.0 -118.875 -157.6875
-44.75 -118.875 -157.5
-44.75 -119.0625 -157.625
-45.125 -119.0 -157.6875
-45.3125 -119.125 -157.75
-44.75 -119.5 -157.6875
-44.5 -119.875 -157.75
-44.5625 -120.1875 -157.625
-44.6875 -120.0625 -157.625
-44.4375 -120.0625 -157.1875
-44.625 -119.6875 -157.0
-45.0 -119.375 -156.6875
-44.5625 -119.3125 -156.6875
-44.4375 -119.5 -156.5
-44.3125 -119.4375 -156.75
-44.25 -119.4375 -156.8125
-44.25 -119.4375 -156.625
-44.4375 -119.25 -156.5625
-44.375 -119.5 -157.1875
-44.5 -119.5 -157.125
-44.5625 -119.4375 -157.25
-44.1875 -119.9375 -157.4375
-44.375 -119.6875 -157.1875
-44.3125 -119.1875 -156.875
-44.0 -119.1875 -156.625
-44.1875 -119.1875 -156.625
-44.25 -118.8125 -156.75
-44.0625 -119.125 -157.0
-44.125 -119.4375 -156.5625
-44.625 -119.5625 -157.0
-44.625 -119.375 -157.0
-45.0 -119.8125 -157.0
-45.1875 -119.8125 -157.125
-45.1875 -119.5625 -157.6875
-45.125 -119.625 -157.75
-45.0625 -119.8125 -157.75
-45.125 -119.375 -157.625
-45.0 -119.3125 -157.5
-44.875 -119.5 -157.5625
-44.875 -119.1875 -157.125
-44.8125 -119.0 -156.875
-44.8125 -118.6875 -156.75
-44.8125 -118.75 -156.5625
-45.0 -118.6875 -156.625
-45.25 -119.125 -156.9375
-45.625 -119.375 -157.1875
-45.3125 -119.6875 -157.5
-45.375 -119.125 -157.4375
-45.5 -119.1875 -157.125
-45.0 -119.0625 -157.375
-44.625 -118.9375 -157.5
-44.875 -119.3125 -157.625
-44.5625 -119.9375 -157.5625
-43.875 -120.0 -157.6875
-44.1875 -120.3125 -158.0
-44.125 -120.0625 -158.0625
-43.875 -119.8125 -158.0625
-44.3125 -120.0625 -158.75
-44.5625 -119.5625 -158.625
-44.4375 -119.5625 -158.1875
-44.25 -119.875 -158.1875
-44.1875 -119.6875 -158.0625
-44.375 -119.3125 -157.75
-44.5625 -119.5625 -157.75
-44.625 -119.375 -158.0
-45.125 -119.125 -157.75
-45.125 -119.125 -157.25
-44.875 -119.5625 -156.875
-45.0 -119.3125 -156.6875
-44.75 -119.5625 -156.4375
-44.8125 -119.875 -156.3125
-44.9375 -120.125 -156.75
-45.0 -119.6875 -156.75
-44.9375 -119.5625 -156.6875
-45.125 -119.3125 -156.375
-44.8125 -119.0 -156.625
-44.75 -119.125 -156.375
-44.625 -119.5625 -156.375
-44.5625 -119.6875 -156.5625
-44.875 -119.4375 -156.625
-45.0625 -119.3125 -156.75
-45.375 -118.875 -157.5
-45.3125 -118.375 -157.6875
-45.625 -118.4375 -157.6875
-45.3125 -118.8125 -157.8125
-45.1875 -118.75 -157.875
-44.875 -118.875 -157.5
-45.125 -119.25 -157.25
-44.8125 -119.0625 -157.1875
-44.5 -118.875 -157.125
-44.625 -119.1875 -156.6875
-44.6875 -119.1875 -156.75
-44.3125 -119.0625 -157.1875
-44.5 -119.5625 -157.125
-44.9375 -120.0625 -157.375
-44.875 -119.875 -157.4375
-45.0 -119.875 -157.25
-45.5625 -119.9375 -157.3125
-45.375 -119.6875 -157.25
-45.25 -119.3125 -156.9375
-45.5 -119.0 -157.0625
-45.0625 -119.0625 -156.75
-44.625 -119.1875 -156.3125
-44.5 -119.5 -156.4375
-44.5625 -119.5625 -156.25
-44.5625 -119.875 -156.375
-44.5625 -119.9375 -156.625
-44.875 -119.9375 -156.875
-45.25 -119.875 -156.5625
-45.125 -119.6875 -156.6875
-45.0625 -119.8125 -156.375
-45.4375 -119.75 -156.1875
-45.25 -119.4375 -156.0
-45.0625 -119.25 -156.4375
-44.8125 -119.4375 -156.5
-44.8125 -119.5 -156.75
-44.3125 -119.4375 -157.0625
-44.3125 -119.5 -157.125
-44.6875 -119.5625 -157.125
-44.9375 -119.5625 -157.5625
-44.375 -119.625 -157.625
-44.75 -119.9375 -157.3125
-44.3125 -120.0 -157.4375
-44.0 -119.6875 -157.375
-44.1875 -119.6875 -157.375
-44.875 -119.375 -157.375
-44.6875 -119.3125 -157.625
-45.0625 -119.625 -157.4375
-45.125 -120.0 -157.6875
-45.25 -119.6875 -157.4375
-44.6875 -119.1875 -156.6875
-44.6875 -118.625 -156.5625
-44.875 -118.5 -156.5
-44.8125 -118.0 -156.0625
-44.5 -118.4375 -156.0625
-45.0625 -119.1875 -157.0
-45.125 -119.75 -157.0
-45.1875 -119.5 -157.1875
-45.3125 -120.0 -157.6875
-45.3125 -119.8125 -157.0625
-44.875 -119.5625 -157.0
-44.5625 -119.625 -156.875
-44.625 -119.25 -156.6875
-44.5 -118.9375 -155.875
-44.5 -118.25 -156.0625
-44.6875 -118.375 -155.8125
-44.9375 -118.125 -156.0625
-44.625 -118.5625 -156.125
-44.375 -118.6875 -157.0
-44.375 -119.375 -157.4375
-44.4375 -119.25 -157.75
-44.375 -119.25 -157.9375
-44.375 -119.125 -157.6875
-44.625 -118.875 -157.375
-44.625 -118.875 -157.25
-44.625 -118.875 -156.875
-44.5625 -118.75 -156.6875
-44.875 -118.8125 -157.0
-44.625 -119.0625 -156.9375
-44.875 -119.0 -156.25
-44.5625 -119.0 -156.125
-44.9375 -118.9375 -156.3125
-44.8125 -119.125 -156.125
-45.1875 -119.1875 -156.5625
-45.125 -119.125 -157.375
-45.4375 -119.0625 -157.75
-45.25 -119.4375 -157.6875
-45.25 -119.5 -158.1875
-44.9375 -119.25 -157.75
-44.9375 -119.4375 -157.625
-44.875 -119.625 -157.5
-44.9375 -119.1875 -157.3125
-44.875 -119.1875 -156.8125
-45.0 -119.4375 -157.0625
-44.75 -119.25 -157.125
-44.3125 -118.75 -156.6875
-44.1875 -118.75 -156.4375
-44.25 -118.625 -156.1875
-44.25 -118.5 -155.875
-44.3125 -118.625 -155.5625
-44.6875 -119.25 -156.0
-45.0625 -119.25 -156.0625
-45.1875 -119.25 -156.6875
-45.125 -119.4375 -156.75
-45.3125 -119.125 -156.5625
-45.25 -118.625 -156.25
-45.125 -118.6875 -156.4375
-44.625 -118.375 -156.0
-44.5625 -117.875 -156.1875
-44.8125 -117.875 -156.375
-44.875 -118.125 -156.6875
-44.875 -118.125 -156.6875
-45.0 -118.5 -157.375
-45.5625 -118.875 -157.4375
-45.125 -118.9375 -157.6875
-45.125 -118.9375 -157.6875
-45.0625 -118.625 -157.6875
-45.1875 -118.5 -157.375
-44.8125 -118.75 -157.0
-44.625 -118.9375 -156.875
-44.4375 -118.75 -157.0
-44.5625 -119.0625 -157.1875
-44.625 -118.6875 -156.5625
-44.375 -118.3125 -156.5
-44.5 -117.8125 -156.4375
-44.75 -118.25 -156.25
-44.625 -118.5625 -156.0
-44.5625 -118.6875 -156.5625
-45.0625 -118.9375 -157.0
-45.3125 -119.4375 -157.25
-44.9375 -119.375 -157.1875
-44.8125 -119.3125 -157.0625
-44.625 -119.125 -156.6875
-44.375 -118.9375 -156.4375
-44.0 -118.8125 -156.1875
-44.1875 -118.375 -156.5625
-44.4375 -118.25 -157.1875
-44.8125 -118.6875 -157.375
-44.8125 -118.625 -157.6875
-45.0 -118.8125 -157.5625
-45.25 -119.25 -157.25
-44.9375 -119.4375 -156.625
-44.75 -119.1875 -156.9375
-44.5625 -119.1875 -156.6875
-44.75 -119.0625 -157.3125
-44.5625 -119.0 -157.3125
-44.5625 -118.9375 -157.4375
-44.5625 -119.125 -157.25
-44.875 -119.125 -157.3125
-44.625 -119.1875 -156.9375
-44.625 -119.25 -157.125
-45.0625 -118.8125 -157.3125
-45.25 -119.0 -157.3125
-45.125 -119.5 -157.5
-45.5 -119.5625 -157.9375
-45.875 -119.5625 -157.8125
-45.25 -120.375 -157.6875
-45.0625 -120.0625 -157.625
-45.0 -119.8125 -157.75
-44.625 -119.875 -157.5
-44.5 -119.9375 -157.625
-44.75 -119.375 -157.375
-44.75 -119.5625 -157.375
-44.5625 -119.4375 -156.9375
-44.5625 -118.875 -156.4375
-44.625 -119.0 -156.125
-45.0 -119.125 -156.1875
-45.375 -118.8125 -156.0625
-45.4375 -119.0 -156.5
-45.625 -119.75 -156.9375
-45.3125 -119.3125 -157.0625
-45.0 -119.5 -157.4375
-44.625 -119.5625 -157.5
-44.375 -119.3125 -157.3125
-44.5625 -119.5625 -157.3125
-44.75 -119.5 -157.3125
-44.4375 -119.3125 -157.0
-44.625 -119.5625 -157.5
-45.0 -119.5625 -157.0
-44.4375 -119.0 -156.875
-44.5 -118.875 -156.375
-44.6875 -118.5 -156.125
-44.375 -118.1875 -155.5
-44.5625 -118.5 -156.125
-44.5625 -118.5 -156.1875
-44.3125 -118.875 -156.875
-44.4375 -119.5 -157.1875
-44.4375 -119.625 -157.5
-44.125 -119.3125 -157.4375
-44.1875 -119.1875 -157.1875
-44.4375 -118.75 -156.5625
-44.75 -118.6875 -156.5625
-44.75 -118.875 -156.3125
-44.5625 -118.8125 -156.3125
-44.75 -119.0 -156.375
-44.6875 -119.1875 -156.875
-44.75 -118.8125 -156.9375
-44.8125 -118.75 -157.3125
-44.9375 -119.0 -157.0
-45.1875 -119.3125 -157.125
-44.8125 -119.0 -157.0
-44.1875 -118.875 -156.75
-44.3125 -119.0625 -156.375
-44.5625 -119.125 -157.125
-44.0625 -118.875 -157.1875
-44.1875 -119.4375 -157.5625
-44.625 -119.6875 -157.75
-44.8125 -119.4375 -157.9375
-44.625 -119.0 -157.1875
-45.0 -118.875 -157.25
-45.25 -118.625 -156.9375
-45.25 -118.75 -157.25
-45.0625 -118.6875 -157.4375
-45.0625 -118.9375 -157.875
-44.625 -118.9375 -157.75
-44.5625 -118.9375 -157.8125
-44.125 -118.75 -157.8125
-44.3125 -118.8125 -157.8125
-44.25 -118.625 -157.375
-44.5625 -118.5625 -157.3125
-44.4375 -118.75 -157.25
-44.75 -118.875 -157.0
-44.4375 -118.9375 -156.5
-44.5625 -119.4375 -157.0625
-44.625 -119.5 -157.3125
-44.9375 -119.5625 -157.5625
-45.0625 -119.5625 -157.75
-45.125 -119.375 -158.0
-45.3125 -119.25 -157.75
-45.0625 -119.1875 -157.25
-44.9375 -118.9375 -156.8125
-44.9375 -118.4375 -156.625
-44.9375 -118.0 -156.375
-44.9375 -117.5625 -156.3125
-45.3125 -117.5625 -156.6875
-45.375 -117.75 -157.25
-45.25 -118.5 -157.25
-45.0625 -119.0 -157.4375
-45.0625 -119.25 -157.8125
-45.0 -119.3125 -158.0
-44.75 -119.4375 -157.875
-44.9375 -119.1875 -158.25
-45.5625 -119.125 -158.1875
-45.6875 -119.3125 -158.0
-45.6875 -118.9375 -157.6875
-45.8125 -118.625 -157.5
-46.0 -118.375 -157.0
-45.375 -118.0 -156.875
-45.125 -118.0625 -156.875
-45.5 -118.8125 -156.75
-45.4375 -119.0625 -156.6875
-45.375 -119.5 -157.0
-45.8125 -119.8125 -157.1875
-45.8125 -120.0 -157.5
-45.4375 -119.6875 -157.6875
-45.5625 -119.875 -157.875
-45.5 -119.8125 -157.6875
-45.0625 -119.6875 -157.875
-44.75 -119.5 -157.6875
-44.6875 -119.25 -157.75
-44.6875 -118.75 -157.8125
-44.375 -118.8125 -157.8125
-44.5625 -119.125 -157.5625
-44.3125 -118.625 -157.0625
-44.375 -118.4375 -156.8125
-44.5 -118.1875 -156.75
-44.9375 -118.125 -157.0625
-45.1875 -118.1875 -157.3125
-46.0625 -118.625 -157.75
-46.1875 -119.25 -158.0
-45.8125 -119.6875 -157.9375
-45.1875 -119.75 -157.8125
-44.75 -119.6875 -157.5
-44.4375 -120.0625 -157.25
-44.4375 -119.8125 -157.25
-44.875 -119.875 -157.25
-45.5625 -119.875 -157.375
-45.3125 -119.4375 -157.4375
-45.4375 -118.625 -157.625
-45.3125 -118.625 -157.5625
-44.9375 -118.75 -157.5
-44.8125 -118.5 -157.5625
-45.0625 -119.0 -157.4375
-45.1875 -119.6875 -157.9375
-45.3125 -119.9375 -158.4375
-45.5 -119.625 -158.375
-45.375 -120.125 -158.0
-46.0 -119.625 -158.0625
-45.875 -119.8125 -157.75
-45.875 -119.375 -157.3125
-45.5625 -119.3125 -157.125
-45.5 -118.875 -157.25
-44.9375 -119.375 -157.0
-44.625 -118.9375 -156.75
-44.6875 -119.1875 -156.75
-45.3125 -119.4375 -156.9375
-45.375 -119.3125 -157.0625
-45.4375 -118.9375 -157.1875
-45.625 -119.125 -157.0
-45.5625 -119.375 -157.3125
-45.3125 -119.375 -157.0625
-45.0 -120.0 -157.5
-45.0 -120.9375 -157.625
-44.875 -121.0 -157.875
-45.25 -121.0 -156.9375
-45.3125 -120.75 -156.625
-45.5 -120.25 -155.75
-45.125 -119.375 -155.5625
-45.375 -119.1875 -155.125
-45.0625 -119.125 -155.8125
-45.125 -119.25 -156.25
-45.4375 -119.375 -156.4375
-46.0 -119.625 -156.6875
-45.9375 -119.625 -156.875
-45.5 -119.875 -156.625
-45.3125 -119.75 -156.75
-44.875 -119.6875 -156.75
-44.8125 -119.9375 -156.8125
-44.8125 -119.625 -157.0625
-44.9375 -119.1875 -157.3125
-44.9375 -118.9375 -156.9375
-44.875 -118.1875 -157.0625
-44.9375 -117.875 -157.0
-44.6875 -118.125 -156.8125
-44.625 -117.9375 -157.0
-44.9375 -118.375 -157.0625
-44.9375 -118.8125 -157.3125
-44.5625 -118.8125 -156.875
-45.0625 -118.8125 -157.0625
-45.375 -119.0 -157.0
-44.9375 -119.125 -157.125
-44.6875 -119.125 -156.5625
-44.5625 -118.875 -156.8125
-44.5625 -118.375 -156.5
-44.1875 -118.375 -156.5625
-44.25 -118.375 -156.8125
-44.6875 -118.5625 -156.875
-45.1875 -119.25 -157.5625
-44.875 -120.125 -157.625
-45.0625 -120.1875 -157.125
-45.3125 -119.9375 -157.0
-45.25 -120.0625 -157.5
-45.3125 -119.875 -156.8125
-45.5 -119.375 -156.875
-45.4375 -119.0625 -157.125
-45.1875 -119.0 -157.375
-44.75 -118.8125 -157.3125
-44.4375 -118.875 -157.5625
-44.3125 -118.9375 -157.6875
-44.3125 -119.0 -157.375
-44.4375 -119.1875 -157.0625
-44.875 -119.3125 -157.0
-45.1875 -119.125 -156.5
-45.1875 -119.125 -156.125
-45.375 -119.0625 -156.3125
-45.25 -119.25 -156.125
-45.75 -119.625 -155.875
-45.375 -119.875 -156.1875
-45.4375 -119.875 -156.375
-45.1875 -120.5 -156.0
-44.9375 -120.375 -156.25
-44.25 -120.25 -156.625
-44.1875 -119.9375 -156.8125
-44.0 -119.875 -156.875
-44.0625 -119.6875 -157.125
-44.5625 -119.5625 -156.5625
-44.625 -119.5 -156.1875
-44.8125 -119.125 -156.5
-44.625 -118.9375 -157.0
-44.75 -118.875 -157.4375
-44.3125 -118.8125 -158.0
-44.75 -118.9375 -158.125
-44.4375 -119.0 -157.75
-44.4375 -119.3125 -157.4375
-44.5625 -119.0 -157.0
-44.375 -119.125 -156.9375
-44.0 -118.8125 -156.875
-44.1875 -119.0 -156.9375
-44.3125 -118.8125 -156.875
-44.1875 -119.0 -157.1875
-44.8125 -118.75 -156.875
-44.5625 -119.3125 -156.9375
-44.75 -119.0625 -157.125
-44.375 -119.1875 -157.375
-44.4375 -119.0625 -157.0625
-44.1875 -119.0625 -157.4375
-44.5625 -118.625 -157.4375
-44.5 -118.875 -157.375
-44.875 -118.6875 -156.875
-45.0 -118.75 -156.6875
-44.8125 -118.5 -156.375
-44.8125 -118.0625 -156.3125
-45.0625 -118.3125 -155.875
-44.8125 -118.625 -156.5625
-44.8125 -118.6875 -157.0
-44.875 -119.125 -157.0625
-45.0 -119.6875 -157.3125
-44.6875 -119.5 -157.5625
-44.9375 -119.3125 -157.3125
-44.8125 -119.25 -157.1875
-44.9375 -118.9375 -157.1875
-44.4375 -119.0 -157.0
-44.25 -118.8125 -156.8125
-44.125 -118.75 -156.0625
-43.9375 -118.4375 -155.3125
-44.1875 -118.5625 -155.3125
-44.3125 -118.25 -155.1875
-44.375 -118.125 -155.5
-44.625 -118.0 -156.125
-44.9375 -118.4375 -157.125
-44.4375 -119.0 -157.0625
-44.25 -119.0625 -157.3125
-44.0625 -119.0 -156.5
-44.0625 -119.0 -156.625
-44.125 -118.9375 -156.1875
-44.125 -118.3125 -156.625
-44.6875 -118.0625 -156.125
-44.8125 -118.625 -156.8125
-44.5625 -119.0 -156.5625
-44.4375 -118.875 -156.5625
-44.625 -119.0625 -156.3125
-44.3125 -119.4375 -156.8125
-44.4375 -119.25 -156.5
-44.4375 -118.875 -156.625
-44.4375 -119.0625 -156.75
-44.5625 -119.1875 -156.9375
-44.5625 -119.125 -156.625
-44.125 -119.25 -156.9375
-44.4375 -120.0 -156.75
-44.375 -120.0625 -156.75
-44.0 -120.0625 -156.75
-44.0625 -119.875 -156.625
-44.4375 -119.5625 -156.875
-44.1875 -119.1875 -156.9375
-44.5625 -119.1875 -157.125
-44.5625 -119.0 -157.0
-44.875 -119.5625 -157.5
-45.3125 -119.875 -157.125
-45.375 -119.875 -157.1875
-45.3125 -119.875 -157.0
-45.25 -119.875 -156.8125
-44.8125 -119.25 -156.5625
-44.6875 -119.125 -156.5
-44.6875 -119.125 -156.3125
-44.5625 -118.6875 -156.4375
-44.8125 -118.5625 -156.625
-45.375 -118.75 -156.25
-45.5625 -118.9375 -156.625
-45.5625 -119.0 -156.8125
-45.9375 -119.125 -156.5
-46.0625 -119.5 -156.375
-45.4375 -119.75 -156.9375
-45.3125 -119.6875 -156.6875
-45.4375 -119.8125 -157.0
-45.25 -120.0625 -157.25
-45.3125 -119.875 -157.125
-45.5 -120.0 -157.125
-45.1875 -119.9375 -157.0
-45.375 -120.0625 -156.75
-45.125 -119.875 -156.625
-44.8125 -120.0625 -156.6875
-44.9375 -120.0 -156.875
-45.0625 -120.1875 -157.375
-44.8125 -120.125 -157.4375
-44.875 -120.1875 -157.3125
-44.8125 -119.875 -157.875
-44.75 -119.5625 -157.5
-44.875 -119.375 -157.0625
-44.8125 -119.125 -157.0625
-44.8125 -119.0625 -157.3125
-45.0625 -119.0625 -156.9375
-45.125 -119.1875 -156.9375
-45.1875 -119.1875 -156.8125
-45.125 -119.1875 -156.6875
-45.125 -119.25 -156.875
-44.9375 -119.3125 -157.0625
-44.875 -119.25 -156.9375
-44.5625 -119.5625 -156.9375
-44.8125 -119.8125 -156.875
-44.4375 -119.4375 -156.875
-44.1875 -119.6875 -156.6875
-44.1875 -119.75 -157.0
-44.25 -119.5625 -157.5625
-44.0 -119.5 -157.5
-44.3125 -119.75 -157.6875
-44.875 -119.625 -157.625
-45.0 -119.75 -157.1875
-45.1875 -119.625 -156.6875
-45.125 -119.3125 -156.75
-45.1875 -118.8125 -156.25
-45.125 -118.4375 -155.8125
-44.9375 -118.1875 -156.1875
-44.75 -117.75 -156.375
-44.8125 -117.9375 -156.375
-44.8125 -118.5 -156.75
-44.625 -118.6875 -157.25
-44.75 -118.75 -157.0625
-44.5 -118.9375 -157.3125
-44.3125 -118.875 -157.375
-44.3125 -118.9375 -157.125
-44.5 -118.75 -157.1875
